55	Department of Transport	\N	2020-05-29 20:13:35.184646	2020-05-29 20:13:35.184646	\N	NationalGovernmentAgency	\N	\N
56	Department of Water Affairs	\N	2020-05-29 20:13:35.187829	2020-05-29 20:13:35.187829	\N	NationalGovernmentAgency	\N	\N
57	Department of Women, Children & People with Disabilities	\N	2020-05-29 20:13:35.190451	2020-05-29 20:13:35.190451	\N	NationalGovernmentAgency	\N	\N
58	The Presidency	\N	2020-05-29 20:13:35.198887	2020-05-29 20:13:35.198887	\N	NationalGovernmentAgency	\N	\N
59	Cooperative Governance and Traditional Affairs	\N	2020-05-29 20:13:35.208791	2020-05-29 20:13:35.208791	\N	ProvincialAgency	9	\N
60	Economic Development, Environmental Affairs and Tourism	\N	2020-05-29 20:13:35.211367	2020-05-29 20:13:35.211367	\N	ProvincialAgency	9	\N
61	Education	\N	2020-05-29 20:13:35.213305	2020-05-29 20:13:35.213305	\N	ProvincialAgency	9	\N
62	Health	\N	2020-05-29 20:13:35.215744	2020-05-29 20:13:35.215744	\N	ProvincialAgency	9	\N
63	Human Settlements	\N	2020-05-29 20:13:35.217979	2020-05-29 20:13:35.217979	\N	ProvincialAgency	9	\N
64	Provincial Treasury	\N	2020-05-29 20:13:35.221891	2020-05-29 20:13:35.221891	\N	ProvincialAgency	9	\N
65	Public Works	\N	2020-05-29 20:13:35.225318	2020-05-29 20:13:35.225318	\N	ProvincialAgency	9	\N
66	Rural Development and Agrarian Reform	\N	2020-05-29 20:13:35.229178	2020-05-29 20:13:35.229178	\N	ProvincialAgency	9	\N
67	Safety and Liaison	\N	2020-05-29 20:13:35.234424	2020-05-29 20:13:35.234424	\N	ProvincialAgency	9	\N
68	Social Development	\N	2020-05-29 20:13:35.238027	2020-05-29 20:13:35.238027	\N	ProvincialAgency	9	\N
69	Sport, Recreation, Arts and Culture	\N	2020-05-29 20:13:35.247643	2020-05-29 20:13:35.247643	\N	ProvincialAgency	9	\N
70	Transport	\N	2020-05-29 20:13:35.250315	2020-05-29 20:13:35.250315	\N	ProvincialAgency	9	\N
